CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply
ZCoin,Lyra2Z,True,PoW,7568281.24956067,21400000
Premium,Scrypt,True,PoW,,20000000
CaliphCoin,SHA-256,True,PoW,,135000000
LeaCoin,SHA-256,True,PoW,0.0,2000000000
Californium,SHA-256,True,PoW,,2520000
CoffeeCoin,PoS,True,PoS,148716816.0,39999898
BlackShadowCoin,X11,True,PoW/PoS,,2100000000
JiffyCoin,SHA-256D,True,PoW,,5108400
Moneta,Scrypt,True,PoW,,184000000
Rublebit,Scrypt,True,PoW,,100000000
HappyCreatorCoin ,Scrypt,True,PoW,,100100400000
BrainCoin,X11,True,PoW/PoS,,22000000
RoyalCoin,X13,True,PoS,2500124.0,2500124
BigLifeCoin,X11,True,PoW,,9900000000
Zurcoin,Quark,True,PoW,0.0,126000000
PeaceCoin,X11,True,PoW,,700000000
Goldmaxcoin,Scrypt,True,PoW,,84078950
32Bitcoin,X11,True,PoW/PoS,,355000
GanjaCoin V2,X14,True,PoW/PoS,100000000.0,100000000
TeamUP,PoS,True,PoS,17818682.1654,301000000
ScryptToken,Scrypt,True,PoW/PoS,,8842105
LanaCoin,SHA-256D,True,PoW/PoS,1082162635.53683,7506000000
Elementrem,Ethash,True,PoW,26205539.0,26205539
GuccioneCoin,Scrypt,True,PoW,,39760000
EqualCoin,X13,True,PoW/PoS,,1000000000
2BACCO Coin,Scrypt,True,PoW/PoS,,81454545
DarkKnightCoin,Scrypt,True,PoW/PoS,,24000000
Community Coin,SHA-256,True,PoW,,36129032
ChoofCoin,Scrypt,True,PoW/PoS,,40000000
CashOut,SHA-256,True,PoW,0.0,100000000
ZClassic,Equihash,True,PoW,5613550.0,21000000
RoyalCoin 2.0,X13,True,PoS,,2500124
Pabyosi Coin,X11,True,PoW/PoS,,31500000000
NetBit,Scrypt,True,PoW/PoS,,10.500.000
WineCoin,Scrypt,True,PoW/PoS,,1744000000
ARK,DPoS,True,DPoS,108202084.0,125000000
ZCashDarkCoin,Scrypt,True,PoW,,500000000
WashingtonCoin,X11,True,PoW/PoS,,170000000
LuckyBlocks,PoS,True,PoS,,20000000
InsaneCoin,X11,True,PoW/PoS,18342813.0,30000000
LuckChain,Scrypt,True,PoW/PoS,0.0,1000000000
FameCoin,QuBit,True,PoW/PoS,,50000000
LiviaCoin,Scrypt,True,PoW/PoS,,1572000000
EtherDoge,X11,True,PoW/PoS,,18100000
KiloCoin,Scrypt,True,PoW,196297971.0,10000000000
Hush,Equihash,True,PoW,0.0,21000000
BitLuckCoin,PoS,True,PoS,,5000000000
Dream8Coin,Scrypt,True,PoW,,88800000000
Ebitz,PoS,False,PoS,,21000000
Free Game Zone,Scrypt,True,PoW,,44775520
BosonCoin,X11,True,PoW/PoS,,5000000000
ArtexCoin,X11,True,PoW,824000000.0,500000000
PlatiniumCoin,SHA-256,True,PoW,,21000000
BeardDollars,Scrypt,True,PoW/PoS,,21212121
BipCoin,CryptoNight,True,PoW,,18446744
XenCoin,Scrypt,True,PoW,,2100000000
EmberCoin,X13,True,PoW/PoS,92192822723.0,850000000
Coin to the Future,PoS,True,PoS,,1210000
DollarOnline,X11,True,PoW/PoS,,1000000000
XenixCoin,X11,True,PoW/PoS,3853326.77707314,3853326.77707314
iWallet,X11,True,PoW/PoS,,2142857142.86
FreeCoin,PoS,True,PoS,50000000.0,50000000
NPCcoin,SHA-256D,True,PoW/PoS,0.0,7000000000
PLNCoin,Scrypt,True,PoW/PoS,17089600.0,38540000 
Digigems,Scrypt,True,PoW,,50000000
Icobid,Scrypt,True,PoW/PoS,0.0,200000000 
AquariusCoin,Scrypt,True,PoW/PoS,2449577.41533168,42000000
Kurrent,X11,True,PoW,61364813.0,228000000
Creatio,PoS,True,PoS,20000000.0,20000000
Eternity,X11,True,PoW/PoS,6069482.07721352,60000000
Metal Music v3,Scrypt,False,PoW/PoS,,2500000000
Old Dogs New Tricks,SHA-256D,True,PoW/PoS,,21000000
Eurocoin,SHA-256,True,PoW/PoS,12416554.0,20000000
CoolDarkCoin,Scrypt,True,PoW/PoS,,11052632
BitcoinFast,Scrypt,True,PoW/PoS,20244023.640728,33000000
SeedShares,SHA-256D,True,PoW/PoS,,7996400
Stakenet,X11,True,TPoS,75590369.0,76500000
BitConnect Coin,Scrypt,True,PoW/PoS,11080722.3769581,28000000
ShortyCoin,PoS,True,PoS,,100000000
Procom,Scrypt,True,PoW,,28000000
CoralPay,X13,True,PoS,,21000000
MoneyCoin,Scrypt,True,PoW/PoS,10914418.0,650659833
Horse Power,Scrypt,True,PoW,,2900000
HazMatCoin,Scrypt,True,PoW/PoS,,100000000
CryptoSpots,DPoS,True,DPoS,,0
Iconic,PoS,True,PoS,,520000
NewInvestCoin,PoS,True,PoS,,47090909
AvonCoin,PoS,True,PoS,,1000000000
Enigma,X11,True,PoW/PoS,814671.0,5000000
Cannabis Industry Coin,CryptoNight,True,PoW,978145.0,21000000
LookCoin,X11,True,PoW/PoS,,1613150000
MIScoin,X11,True,PoW/PoS,,25000000
WorldPay,X11,True,PoW/PoS,,10000000
ConquestCoin,X13,True,PoW/PoS,,30000000
TheChiefCoin,Scrypt,True,PoW/PoS,,2500000000
Russiacoin,Scrypt,True,PoW/PoS,8377873.0,144000000
PandaCoin,Scrypt,True,PoS,33813143821.8337,32514916898
Canada eCoin,Scrypt,True,PoW,,100000000
OptionCoin,X11,True,PoS,,21000000
Avatar Coin,PoS,True,PoS,,10000000
Limited Coin,PoS,True,PoS,,128
GameUnits,Scrypt,True,PoW/PoS,3472983.0,13000000
GAKHcoin,Scrypt,True,PoW/PoS,3315789.0,3315789
S88 Coin,Scrypt,True,PoW/PoS,,520000000
Allsafe,Quark,True,PoS,10517772.7391666,15000000
LiteCreed,QuBit,True,PoW/PoS,30227750.0,78835200
ProCoin,X15,True,PoW/PoS,,6000000
Astral,X13,True,PoW/PoS,,37875500
GiftNet,X13,True,PoW,,6750000
PureVidz,PoS,True,PoS,,125000000
Incrementum,PoS,True,PoS,,1300000
PentaCoin,SHA-256,True,PoW/PoS,, 1311955 
AcidCoin,SHA-256,True,PoW,,4500000000
ReturnCoin,X11,True,PoS,,250000000
TwisterCoin,X11,True,PoW/PoS,,3195000
PayPeer,X11,True,PoW/PoS,,50000000000
LeninCoin,SHA-256D,True,PoW,,100000000
MrsaCoin,X13,True,PoW/PoS,,2100000000
OsmiumCoin,Scrypt,True,PoW,894026.0,2714286
Bikercoins,CryptoNight,True,PoW,9357088.0,25000000
CryptoPennies,X11,True,PoS,,1593.15
NeptuneClassic,X11,True,PoW/PoS,0.0,250000000
HexxCoin,Lyra2RE,True,PoW,1876146.443596,9999999
Ghost Coin,SHA-256,True,PoW/PoS,,2270000
MachineCoin,Time Travel,True,PoW,,35000000
SelenCoin,PoS,True,PoS,,159680000
Noocoin,PoS,True,PoS,,25000000
23 Skidoo,SHA-256D,True,PoW,,23
GoldenBird,X13,True,PoW/PoS,0.0,450000000
YamahaCoin,Scrypt,True,PoW,,315000000
JokerCoin,Scrypt,True,PoW/PoS,,5000000000
GravityBit,Scrypt,True,PoW/PoS,,5333000
TeCoin,Multiple,True,PoW,,469521976
BombCoin,Scrypt,True,PoW/PoS,,4516129032
Ride My Car,PoS,True,PoS,0.0,100000000
Klingon Empire Darsek,Scrypt,True,PoW/PoS,23965372.0,500000000
Internet of People,SHA-256,True,PoW/PoS,2526078.47525448,21000000
Elysium,Scrypt,True,PoW,,18000000
KushCoin,X11,True,PoW/PoS,5659096.95728771,9354000
Eryllium,X11,True,PoW/PoS,0.0,100000000
Opes,Argon2,True,PoW,,52000000
Ratio,PoS,True,PoS,,100000000
SmurfCoin,Scrypt,True,PoW/PoS,,2500000000
TechCoin,X13,True,PoW/PoS,,300000
CircuitCoin,SHA-256D,True,PoW/PoS,,3125000000
LePenCoin,SHA-256,True,PoS,,1000000000
MarxCoin,X11,True,PoW,0.0,100640000
HazeCoin,Scrypt,True,PoW,,25000000
Printerium,Scrypt,True,PoW/PoS,11821728.0,20000000
PacCoin,X11,True,PoW,536982074.0,100000000000
Impeach,Scrypt,True,PoW/PoS,308179.0,21933333
ErrorCoin,Scrypt,True,PoW,,81000000
TrueInvestmentCoin,Scrypt,True,PoW/PoS,,53200000
NukeCoin,PoS,True,PoS,,2778196
Solarflarecoin,Scrypt,True,PoW,0.0,20000000
JaneCoin,X11,True,PoW/PoS,,2100000000
ParanoiaCoin,Scrypt,True,PoW,,72000000
MasterMint,X11,True,PoS,,1500000000
Citadel,CryptoNight-V7,True,PoW,10969318.522954,185000000
Zilbercoin,Scrypt,True,PoS,2922613.96424908,55000000
FirstCoin,Scrypt,True,PoW/PoS ,110000000.0,110000000
OroCoin,Scrypt,True,PoW,,23529412
Alexandrite,SHA-256,True,PoW/PoS,,1268000
TrashBurn,SHA-256D,True,PoS,,9000000
MasterCar,Scrypt,True,PoW/PoS,,2991837
TechShares,DPoS,True,DPoS,,600000000
AcesCoin,X13,True,PoS,,100000000
United Arab Emirates Coin,X11,False,PoW/PoS,,10000000
EagleCoin,SHA-256,True,PoW,,40000000
CreativeChain,Keccak,True,PoW,0.0,115000000
BeaverCoin,Scrypt,True,PoW,3115258.0,3360000
FindCoin,X13,True,PoS,14524851.4827,14524851.4827
MeLite,SHA-256D,True,PoW/PoS,,1.000.000
StalinCoin,X11,True,PoW/PoS,,3000000000
TattooCoin,Scrypt,True,PoW/PoS,,500000000
VaultCoin,X11,True,PoW,30385540.0,1000000000
BioBar,SHA-256D,True,PoW/PoS,,60000000
Zero,Equihash,True,PoW,6921653.89980891,17000000
OpenChat,Scrypt,True,PoW/PoS,1000000000.0,1000000000
Canada eCoin,Scrypt,True,PoW,99843408.3158479,100000000 
Zoin,Lyra2RE,True,PoW,18545757.5,21000000
Honey,Blake2S,True,PoW/PoS,,7000000
MartexCoin,X13,True, PoW/PoS,,5000000
Musicoin,Ethash,True,PoW,0.0,454898394
BitVegan,PoS,True,PoS,,600000000
Mbitbooks,Scrypt,True,PoW,,81000000
Zennies,Scrypt,True,PoS,,1000000000
PlanetCoin,Scrypt,True,PoW/PoS,,1000000
DuckDuckCoin,Scrypt,True,PoW,,121
BnrtxCoin,X11,True,PoW,0.0,210000000
RenosCoin,Scrypt,True,PoS,36050365.0,34426423
DubaiCoin,Dagger-Hashimoto,True,PoW,2232901.0,2232901
VirtacoinPlus,X11,True,PoW/PoS,13162749.0858027,100000000
Doubloon,536,True,PoW/PoS,,500000000
TajCoin,Blake2S,True,PoW/PoS,12184195.9258495,36900000
Impact,X11,True,PoW/PoS,110630387.850471,110000000
CryptoJournal,PoS,True,PoS,,100000000
Amygws,Scrypt,True,PoW,,23333333
Cubits,SHA-256,True,PoW/PoS,,300000000
EB3coin,Scrypt,True,PoW,64096052.0,4000000000
The Vegan Initiative,PoS,True,PoS,,50000000
Aptcoin,Scrypt-n,True,PoW,,42000000
BlazerCoin,Scrypt,True,PoW,,294336000
Universe,Scrypt,True,PoS,0.0,112000000
ECOcoin,Scrypt,True,PoW/PoS,,10733333
Dark,SHA-256,True,PoW/PoS,,12800000
DonationCoin,Scrypt,True,PoW,,90000000
Atmos,PoS,True,PoS,111135836.889,110290030
HappyCoin,X11,True,PoW/PoS,21521322.0099142,100000000
Coinonat,NIST5,True,PoW,10123200.0,48252000
MacronCoin,PoS,True,PoS,401421401.0,400000000
Condensate,X11,True,PoW/PoS,121665451.643876,500000000
IvugeoEvolutionCoin,Scrypt,True,PoW,,100000000
Independent Money System,Scrypt,True,PoW/PoS,5368934.0,21212121
ArgusCoin,Scrypt,True,PoW/PoS,1148324.0,28600000
LomoCoin,Scrypt,True,PoW/PoS,500000.0,1000000000
Bitcoin Scrypt,Scrypt,True,PoW,0.0,21000000
ProCurrency,SHA-256,True,PoS,100545745.0,75000000000
GoldReserve,X11,True,PoW/PoS,17171382.0,40000000
BenjiRolls,Scrypt,True,PoW,20276099.146524,35520400
ParallelCoin,Scrypt,True,PoW,0.0,1000000
GrowthCoin,Scrypt,True,PoS,295135466.361878,2000000000
ILCoin,SHA-256,True,PoW,1317747500.0,2500000000
Prizm,SHA-256,True,PoS,,600000000000000
Phreak,PoS,True,PoS,11390225.9742772,30000000
PupaCoin,Blake2S,True,PoW/PoS,,3500000000
RiceCoin,X13,True,PoW/PoS,,10000000
C-Bits,SHA-256,True,PoW,,210000000
Degas Coin,Scrypt,True,PoW/PoS,21358764.0,105000000
ZSEcoin,X11,True,PoW/PoS,0.0,2093500000
TappingCoin,X11,True,PoW/PoS,,5000000000
MilkCoin,SHA-256,True,PoW/PoS ,,4500000000
Infinium-8,CryptoNight,False,PoW,,0
HTML5 Coin,X15,True,PoW/PoS,40659020000.0,90000000000
Subscriptio,PoS,True,PoS,,10000000
Ultimate Secure Cash,SHA-256,True,PoS,10343113.0,200084200
DuxCoin,Scrypt,True,PoW/PoS,,1680000000
PoisonIvyCoin,Scrypt,True,PoW/PoS,,4666666667
EquiTrader,Scrypt,True,PoW,13673406.4325268,72000000
Manet Coin,Scrypt,True,PoW/PoS,,215000000
HamsterCoin,Scrypt,True,PoW,,20000000
QTUM,POS 3.0,True,PoS,100000000.0,100000000
NefariousCoin,Scrypt,True,PoW/PoS,,4835000000
Quantum Resistant Ledger,CryptoNight-V7,True,PoW,69036016.8340164,105000000
Espers,536,True,PoW/PoS,22801882871.0,50000000000
Dynamic,Argon2d,True,PoW,19784224.6512734,0
Nano,Blake2b,True,PoW,133248297.0,340282367
ChanCoin,Cloverhash,True,PoW,18407259.0885883,30000000
Dinastycoin,CryptoNight,True,PoW,1809467143.0,2000000000
Denarius,NIST5,True,PoW/PoS,4171382.0,10000000
DigitalPrice,X11,True,PoW,35138975.0,100000000
Virta Unique Coin,NIST5,True,PoW/PoS,62942075.0,120000000
Bitcoin Planet,Skein,True,PoW/PoS,6804362.0,100000000
Unify,Scrypt,True,PoW,18133195.0,19276800
BritCoin,X13,True,PoW/PoS,21268092.0,30000000
SocialCoin,Scrypt,True,PoW,5167775.0, 75000000
Octanox,X11,True,PoW/PoS,0.0,7905634
ArcticCoin,X11,True,PoW,26042364.3735553,60000000
Bogcoin,SHA-256,True,PoW,,21212121
BeachCoin,X11,True,PoW,,21000000
DAS,X11,True,PoW,2622886.0,18900000
Linda,Scrypt,True,PoW/PoS,9044930943.24243,50000000000
LeviarCoin,CryptoNight,True,PoW,14161803.0,54000000
DeepOnion,X13,True,PoW/PoS,21917018.0492836,18898187.6216583
Bitcore,Time Travel,True,PoW,17801865.1605478,21000000
gCn Coin,Scrypt,True,PoW,163055097500.0,200000000000
SmartCash,Keccak,True,PoW,2241009149.22257,5000000000
Signatum,SkunkHash v2 Raptor,True,PoS,107972766.0,137500000
Onix,X11,True,PoW,122475638.389743,1100000000
Wink,PoS,True,PoS,,80000000
Cream,Skein,True,PoW/PoS,47331802.4774238,100000000
Bitcoin Cash,SHA-256,True,PoW,17995589.6469082,21000000
Bitmxittz,Scrypt,False,PoW/PoS,,10000
Monoeci,X11,True,PoW/PoS,12569262.5359307,9507271
CampusCoin,Scrypt,True,PoW,0.0,1010000000
Draftcoin,Scrypt,True,PoS,18663297.3489799,17405891.19707116
Vechain,VeChainThor Authority,True,Proof of Authority,55454734800.0,86712634466
Sojourn Coin,Scrypt,True,PoW,485214.0,10500000000
Stakecoin,PoS,True,PoS,4000000.0,61599965
NewYorkCoin,Scrypt,True,PoW,143006669741.687,0
LiteBitcoin,Scrypt,True,PoW,0.0,1000000000
FrazCoin,Scrypt,True,PoW,9704042.0,20000000
Kronecoin,Scrypt,True,PoW,17453749.4042601,84000000
AdCoin,Scrypt,True,PoW,32646731.063036,100000000
Linx,Scrypt,True,PoW,33716526.0,100000000
CoinonatX,Scrypt,True,PoW/PoS,19539588.0,48252000
BlakeStar,Blake2S,True,PoW/PoS,,2400000000
Ethereum Dark,Scrypt,True,PoW/PoS,4200000.0,4200000
Sumokoin,CryptoNight,True,PoW,8946653.0,88888888
Obsidian,SHA-512,True,PoS,25000000.0,91388946
Cardano,Ouroboros,True,PoS,25927070538.0,45000000000
Regalcoin,X11,True,PoW/PoS,7262402.04264803,27000000
BitcoinZ,Equihash,True,PoW,5211553258.01514,21000000000
NetM,Scrypt,True,PoW,,101318932073.89769
TrezarCoin,NeoScrypt,True,PoW/PoS,182638400.0,400000000
Elements,X11,True,PoW,2702855668.85288,1800000000
TerraNovaCoin,Scrypt,True,PoW/PoS,1140734.91680375,15733333
VIVO Coin,NeoScrypt,True,PoW,4165967.57499639,27000000
RG Coin,NIST5,True,PoW/PoS,,300000000
Rupee,Lyra2REv2,True,PoS,24000000.0,24000000
Bitcoin Gold,Equihash,True,PoW,17202361.088994,21000000
WomenCoin,Scrypt,True,PoW/PoS,48459472454.0,25000000000
Theresa May Coin,SHA-256,True,PoW/PoS,92050800.0,100000000
Eddie coin,Scrypt,True,PoW/PoS,,1000000000
NamoCoin,NIST5,True,PoW/PoS,560563220.0,1200000000
LUXCoin,PHI1612,True,PoW/PoS,8305775.31777569,60000000
Pirl,Dagger,True,PoW,33986980.0,156306732.71
Xios,Scrypt,True,PoW/PoS,2149688.0,21000000
Bitcloud 2.0,Quark,True,PoW/PoS,30711550.5294042,200000000
eBoost,Scrypt,True,PoW,99990001.493466,100000000
KekCoin,POS 2.0,True,PoS,12330806.30517,21000000
BlackholeCoin,Scrypt,True,PoW/PoS,16362544.992,14788275.991
AltCommunity Coin,SkunkHash,True,PoW/PoS,0.0,5000000
Pure,X11,True,PoW/PoS,0.0,3686860
Rupaya,Quark,True,PoS,0.0,75000000
Infinity Economics,SHA-256,True,PoS,8999999990.0,9000000000
Huncoin,X13,False,PoW,,86400000
MadCoin,Scrypt,True,PoW,,10000000
Pura,X11,True,PoW,175215859.0,350000000
Innova,NeoScrypt,True,PoW,6375259.04,45000000
Bitdeal,Scrypt,True,PoW,0.0,300000000
WiserCoin,Scrypt,False,PoW,,22105263
Masari,CryptoNight,True,PoW,,18500000
Ellaism,Ethash,True,PoW,12756367.0,280000000
Sakuracoin,Scrypt,True,PoW,0.0,105100000
Interstellar Holdings,Scrypt,False,PoS,0.0,1970000000
GoByte,NeoScrypt,True,PoW,5832306.875,31800000
Castle,Quark,True,DPoS,0.0,50000000 
Insta Cash Coin,SHA-256,False,PoW,0.0,300000000
Alqo,Quark,False,PoW/PoS,65269530.104519,57879300
KingN Coin,Scrypt,False,PoW/PoS,,420000
Magnet,X11,True,PoW/PoS,38198594.8342105,144000000
Lamden Tau,DPoS,True,DPoS,288090567.493887,500000000
Electra,NIST5,True,PoW/PoS,28399150208.0,30000000000
Bitcoin Diamond,X13,True,PoW/PoS,183534024.889807,210000000
Votecoin,Equihash,True,PoW,,220000000
SHIELD,Multiple,True,PoW,481730566.566176,660000000
BridgeCoin,Scrypt,False,PoW,0.0,27000000
Desire,NeoScrypt,True,PoW,,22000000
Mutual Coin,Scrypt,False,PoW/PoS,0.0,1000000000
Cash & Back Coin,Scrypt,True,PoW/PoS,110976977.29338,210000000
UltraNote,CryptoNight,True,PoW,19281821413.4924,85000000000
People,Scrypt,True,PoW,,7500000000
Achain,DPoS,True,DPoS,,1000000000
Neuro,SHA-256,False,PoW/PoS,,20000000
Social Send,Quark,True,PoW/PoS,,150000000
BitCoal,CryptoNight,True,PoW,4500000.0,12500000
DaxxCoin,Ethash,True,PoW,520891780.0,10000000000
Bulwark,NIST5,True,PoS,13247178.8807286,27716121
BoxyCoin,Scrypt,False,PoW,5761512.8103491,100000000
Super Bitcoin,SHA-256,True,PoW,,21210000
Kalkulus,Quark,True,PoS,16955764.902064,20000000
AC3,X11,True,PoW,80316207.0,550000000
CHIPS,SHA-256,True,PoW,0.0,21000000
Lethean,CryptoNight-V7,True,PoW,441250233.377,999481516
GermanCoin,Scrypt,True,PoW/PoS,4911500269.41,50000000000
LiteCoin Ultra,Scrypt,True,PoW/PoS,8419402.321,150000000
Straks,Lyra2REv2,True,PoW,,150000000
PopularCoin,Scrypt,True,PoW,3964201248.87125,4999999999
PhantomX,X11,True,PoW/PoS,45174214.1078625,50000000
HomeBlockCoin,X11,False,PoW/PoS,0.0,28000000
HTML Coin,SHA-256,True,PoW/PoS,0.0,90000000000
Photon,BLAKE256,True,PoW,30089671530.5228, 90000000000
Sucre,X11,True,PoW,4229040.50393462,19800000
Accolade,Scrypt,False,PoW/PoS,5573908.0,50000000
CompuCoin,Scrypt,True,PoW,,35000000
Fantasy Cash,Scrypt,True,PoW/PoS,0.0,4600000
OmiseGO Classic,Scrypt,False,PoW/PoS,49933217.7511508,70000000
Galactrum,Lyra2REv2,True,PoW/PoS,,26280000
SparksPay,NeoScrypt,True,PoW,7847417.33355824,21000000
GoaCoin,NeoScrypt,False,PoW,3982139.24553469,32000000
Digiwage,Quark,True,PoS,27299680.0,120000000
GunCoin,NeoScrypt,True,PoW,299797953.0,500000000
PolisPay,X11,True,PoW,,25000000
IrishCoin,Scrypt,True,PoW,45483049.3398182,64000000
Trollcoin,Scrypt,True,PoW/PoS,591022748.0,900000000
Litecoin Plus,Scrypt,True,PoW/PoS,2504486.227718,4000000
TheGCCcoin,X13,True,PoW/PoS,,2400000000
Monkey Project,X11,True,PoS,4407252.0,21000000
KZCash,X11,True,PoW,,18000000
World Crypto Gold,SHA-256,True,Proof of Stake,,900000000
ECC,Scrypt,False,PoS,25000000000.0,25000000000
Steneum Coin,Scrypt,True,PoW,,20000000
Pioneer Coin,X11,True,PoW,8478104.33969947,23000000
UnitedBitcoin,SHA-256,True,PoW,20166000.0,20166000
Interzone,C11,True,PoW,11916588.09471,23000000
Black Pearl Coin,X13,True,PoW/PoS,,50000000
Sigil,NeoScrypt,False,PoW,0.0,50000000
OP Coin,Scrypt,True,PoW/PoS,0.0,2000000000
Shacoin,SHA-256,True,PoS,,350000000
BitWhite,DPoS,True,DPoS,,60000000
Croat,CryptoNight,True,PoW,,100467441
Valorbit,Scrypt,True,PoW/PoS,0.0,92233720000000000
TokenPay,POS 3.0,True,PoS,20445861.5344251,25000000
Crave-NG,SHA-256,True,PoS,,1000000000
1717 Masonic Commemorative Token,Ethash,True,PoS,1618033.0,1618033
Crypto Wisdom Coin,Scrypt,False,PoW,17630550.2128923,24000000
My Big Coin,Scrypt,True,PoW and PoS,9399342.52839847,30000000
WorldBTC,Scrypt,False,PoW/PoS,,210000000
TurtleCoin,CryptoNight,True,PoW,53139835213.77,1000000000000
NeedleCoin,X11,False,PoS/PoW,,120000000
MUNcoin,SkunkHash,True,PoW,4818338.98949984,16600000
Unified Society USDEX,Scrypt,True,PoW/PoS,234846265.782157,232000000
Bitcoin Atom,SHA-256,True,PoW/PoS,,21000000
SegWit2x,X11,True,PoW/PoS,,21000000
Niobio Cash,CryptoNight,True,PoW,133932467.774108,336000000
Scooby coin,Scrypt,True,PoW/PoS,,21000000
BunnyCoin,Scrypt,True,PoW,,100000000000
BitSoar Coin,X11,False,PoS,3680297312.25584,3980000000
Pirate Blocks,X11,True,PoW/PoS,,240000000
Bitcoin Private,Equihash,True,PoW,0.0,21000000
Skeincoin,Skein,True,PoW,0.0,17000000
Karma,Groestl,True,PoS,,3000000000
Bitcoin Candy,Equihash,True,PoW,,21000000000
ShareChain,Scrypt,True,PoW,10000000000.0,10000000000
Credence Coin,SHA-256,False,PoW/PoS,3427006.0,25000000
Travelflex,Dagger,True,PoW,107325266.027783,100000000
KREDS,Lyra2REv2,True,PoW,643795911.540095,1100000000
Vulcano,NIST5,True,PoS/PoW,,421126225
Tokyo Coin,X13,True,PoS,230298925.0,800000000
BiblePay,Proof-of-BibleHash,True,POBh,1772091549.88818,5200000000
LitecoinCash,SHA-256 + Hive,True,PoW + Hive,638382332.208514,840000000
BitFlip,Scrypt,True,PoW,12446100.00278,40000000
LottoCoin,Scrypt,True,PoW,14491014421.0,18406979840
Cypherfunks Coin,Scrypt,True,PoW,,49275000000
LeafCoin,Scrypt,True,PoW,0.0,21000000000
BashCoin,Skein,False,PoW/PoS,11661844.4720073,72000000
DigiMoney,X11,False,PoW/PoS,3521630.0,25000000
Cerberus,NeoScrypt,True,PoW,0.0,31500000
Bitcoin Hush,Equihash,True,PoW,0.0,21000000
Lizus Payment,Skein,False,PoW/PoS,2985970.9999482,69000000
Crypto Improvement Fund,X11,True,PoW,211297638.500483,500000000
Stipend,C11,True,PoW/PoS,11251342.1879021,19340594
Poa Network,Proof-of-Authority,True,PoA,204479039.0,252460800
Pushi,X11,True,PoW/PoS,2167827.1,25000000
PokerCoin,Scrypt,False,PoS/PoW,0.0,466666667
Ellerium,XEVAN,True,PoW/PoS,419275.38,60000000
Velox,Scrypt,True,PoS,25570013.1348022,124000000
Ontology,VBFT,True,PoS,650848625.0,1000000000
Callisto Network,Ethash,True,PoW,247612453.0,6500000000
Curium,X11,True,PoW,0.0,22000000
Elicoin,YescryptR16,True,PoW,,10000000
BitTube,CryptoNight,True,PoW,80049082.9057215,1000000000
Dinero,NeoScrypt,True,PoW,0.0,100000000
Poseidon,Scrypt,True,PoW,4070212.1493016,21000000
Lelecoin,Curve25519,True,PoS,,1000000000
Akroma,Ethash,True,PoW,,100000000
Manna,SHA-256,False,PoW,2360478328.70966,10044655075.56243680
Aidos Kuneen,IMesh,True,PoW,25000000.0,25000000
Seraph,PHI1612,False,PoW/PoS,1360250.0,32000000
AfterEther,Ethash,False,PoW,,200000000
Cosmo,Quark,False,PoW,8928876.68577239,11892000
Reden,X16S,False,PoW,0.0,14000000
TulipCoin,Scrypt,True,PoW/PoS,,5250000000
Bitspace,NIST5,True,PoW/PoS,13787854.6277781,50000000
Fonero,PHI1612,True,PoW,,18400000
Snowgem,Equihash,True,PoW,0.0,84096000
CavatCoin,DPoS,False,DPoS,,21000000
Stellite,CryptoNight,False,PoW,,21000000000
Briacoin,Scrypt,True,PoW/PoS,845637.81347436,3000000
Ignition,Scrypt,True,PoW/PoS,1182153.5,5000000
MoneyBag,X11,False,PoS,,50000000
Bitrolium,Equihash,True,PoW,71355477.0,70000000
Bitcoin Interest,Equihash,True,PoW,0.0,22300000
MedicCoin,Scrypt,True,PoS,267297676.3125,500000000
FOLM coin,PHI1612,False,PoW,0.0,23001916
Alpenschillling,Lyra2Z,True,PoW,27340501.6514783,300000000
Zelcash,Equihash,True,PoW/PoS,0.0,210000000
Bitcoin Green,Green Protocol,True,PoS,9803691.3618195,21000000
Deviant Coin,PoS,True,PoS,21876586.8530324,88000000
Abjcoin,Scrypt,True,PoW/PoS,9880502.37178894,30000000
Rapture,NeoScrypt,False,PoW,4478901.29233779,21000000
Animecoin,Quark,True,PoW,,1976000000
Profit Hunters Coin,Scrypt,True,PoW/PoS,0.0,100000000
Semux,Semux BFT consensus,True,DPoS,1231147.0,100000000
BitBlocks,Scrypt,True,PoW/PoS,0.0,500000000
Uwezocoin,Scrypt,False,PoW,0.0,840000000
FuturoCoin,X11,True,PoW,31801461.1867843,100000000
Carebit,Quark,True,PoW/PoS,139739596.506702,200000000
Zealium,PoS,True,PoS,11075254.0929996,80000000
Monero Classic,CryptoNight,True,PoW,16016864.0,18400000
FedoraCoin,Scrypt,True,PoW,,500000000000
Charm Coin,NeoScrypt,True,PoW,,250000000
Proton,X16R,True,PoS,4403800.0,45000000
Dero,CryptoNight,True,PoW,,18400000
iDealCash,Scrypt,True,PoW/PoS,1404157529.46026,5121951220
Jumpcoin,NIST5,True,PoW,21069346.2522598,21000000
Infinex,Lyra2RE,True,PoW,5097689.71077377,26280000
Bitcoin Incognito,XEVAN,True,PoS/PoW,10904963.0923455,21000000
KEYCO,Tribus,True,PoW,795447.0,18000000
SABR Coin,Scrypt,True,PoW/PoS,,133100000
HollyWoodCoin,Scrypt,True,PoS,38706809.466535,26000000
GINcoin,Lyra2Z,True,PoW,6986399.70430446,10500000
